Degree	Radian	sin_x	cos_xAsin_x_Bcos_x
70.00	1.22	0.17	1.03	1.20
71.00	1.24	-0.49	0.98	0.48
72.00	1.26	-0.00	0.93	0.93
73.00	1.27	0.49	0.88	1.37
74.00	1.29	-0.17	0.83	0.66
75.00	1.31	-0.43	0.78	0.34
76.00	1.33	0.32	0.73	1.05
77.00	1.34	0.32	0.67	1.00
78.00	1.36	-0.43	0.62	0.19
79.00	1.38	-0.17	0.57	0.40
80.00	1.40	0.49	0.52	1.01
81.00	1.41	0.00	0.47	0.47
82.00	1.43	-0.49	0.42	-0.07
83.00	1.45	0.17	0.37	0.54
84.00	1.47	0.43	0.31	0.75
85.00	1.48	-0.32	0.26	-0.06
86.00	1.50	-0.32	0.21	-0.11
87.00	1.52	0.43	0.16	0.59
88.00	1.54	0.17	0.10	0.28
89.00	1.55	-0.49	0.05	-0.44
90.00	1.57	0.00	0.00	0.00
91.00	1.59	0.49	-0.05	0.44
92.00	1.61	-0.17	-0.10	-0.28
93.00	1.62	-0.43	-0.16	-0.59
94.00	1.64	0.32	-0.21	0.11
95.00	1.66	0.32	-0.26	0.06
96.00	1.68	-0.43	-0.31	-0.75
97.00	1.69	-0.17	-0.37	-0.54
98.00	1.71	0.49	-0.42	0.07
99.00	1.73	-0.00	-0.47	-0.47
100.00	1.75	-0.49	-0.52	-1.01
101.00	1.76	0.17	-0.57	-0.40
102.00	1.78	0.43	-0.62	-0.19
103.00	1.80	-0.32	-0.67	-1.00
104.00	1.82	-0.32	-0.73	-1.05
105.00	1.83	0.43	-0.78	-0.34
106.00	1.85	0.17	-0.83	-0.66
107.00	1.87	-0.49	-0.88	-1.37
108.00	1.88	-0.00	-0.93	-0.93
109.00	1.90	0.49	-0.98	-0.48
110.00	1.92	-0.17	-1.03	-1.20
111.00	1.94	-0.43	-1.08	-1.51
112.00	1.95	0.32	-1.12	-0.80
113.00	1.97	0.32	-1.17	-0.85
114.00	1.99	-0.43	-1.22	-1.65
115.00	2.01	-0.17	-1.27	-1.44
116.00	2.02	0.49	-1.32	-0.82
117.00	2.04	0.00	-1.36	-1.36
118.00	2.06	-0.49	-1.41	-1.90
119.00	2.08	0.17	-1.45	-1.28
120.00	2.09	0.43	-1.50	-1.07
121.00	2.11	-0.32	-1.55	-1.87
122.00	2.13	-0.32	-1.59	-1.91
123.00	2.15	0.43	-1.63	-1.20
124.00	2.16	0.17	-1.68	-1.51
125.00	2.18	-0.49	-1.72	-2.21
126.00	2.20	-0.00	-1.76	-1.76
127.00	2.22	0.49	-1.81	-1.31
128.00	2.23	-0.17	-1.85	-2.02
129.00	2.25	-0.43	-1.89	-2.32
130.00	2.27	0.32	-1.93	-1.61
131.00	2.29	0.32	-1.97	-1.65
132.00	2.30	-0.43	-2.01	-2.44
133.00	2.32	-0.17	-2.05	-2.22
134.00	2.34	0.49	-2.08	-1.59
135.00	2.36	0.00	-2.12	-2.12
136.00	2.37	-0.49	-2.16	-2.65
137.00	2.39	0.17	-2.19	-2.02
138.00	2.41	0.43	-2.23	-1.80
139.00	2.43	-0.32	-2.26	-2.59
140.00	2.44	-0.32	-2.30	-2.62
141.00	2.46	0.43	-2.33	-1.90
142.00	2.48	0.17	-2.36	-2.19
143.00	2.50	-0.49	-2.40	-2.89
144.00	2.51	-0.00	-2.43	-2.43
145.00	2.53	0.49	-2.46	-1.97
146.00	2.55	-0.17	-2.49	-2.66
147.00	2.57	-0.43	-2.52	-2.95
148.00	2.58	0.32	-2.54	-2.22
149.00	2.60	0.32	-2.57	-2.25
150.00	2.62	-0.43	-2.60	-3.03
151.00	2.64	-0.17	-2.62	-2.79
152.00	2.65	0.49	-2.65	-2.16
153.00	2.67	0.00	-2.67	-2.67
154.00	2.69	-0.49	-2.70	-3.19
155.00	2.71	0.17	-2.72	-2.55
156.00	2.72	0.43	-2.74	-2.31
157.00	2.74	-0.32	-2.76	-3.08
158.00	2.76	-0.32	-2.78	-3.10
159.00	2.78	0.43	-2.80	-2.37
160.00	2.79	0.17	-2.82	-2.65
161.00	2.81	-0.49	-2.84	-3.33
162.00	2.83	-0.00	-2.85	-2.85
163.00	2.84	0.49	-2.87	-2.38
164.00	2.86	-0.17	-2.88	-3.05
165.00	2.88	-0.43	-2.90	-3.33
166.00	2.90	0.32	-2.91	-2.59
167.00	2.91	0.32	-2.92	-2.60
168.00	2.93	-0.43	-2.93	-3.37
169.00	2.95	-0.17	-2.94	-3.12
170.00	2.97	0.49	-2.95	-2.46
171.00	2.98	0.00	-2.96	-2.96
172.00	3.00	-0.49	-2.97	-3.46
173.00	3.02	0.17	-2.98	-2.81
174.00	3.04	0.43	-2.98	-2.55
175.00	3.05	-0.32	-2.99	-3.31
176.00	3.07	-0.32	-2.99	-3.31
177.00	3.09	0.43	-3.00	-2.56
178.00	3.11	0.17	-3.00	-2.83
179.00	3.12	-0.49	-3.00	-3.49
180.00	3.14	0.00	-3.00	-3.00
181.00	3.16	0.49	-3.00	-2.51
182.00	3.18	-0.17	-3.00	-3.17
183.00	3.19	-0.43	-3.00	-3.43
184.00	3.21	0.32	-2.99	-2.67
185.00	3.23	0.32	-2.99	-2.67
186.00	3.25	-0.43	-2.98	-3.42
187.00	3.26	-0.17	-2.98	-3.15
188.00	3.28	0.49	-2.97	-2.48
189.00	3.30	-0.00	-2.96	-2.96
190.00	3.32	-0.49	-2.95	-3.45
191.00	3.33	0.17	-2.94	-2.77
192.00	3.35	0.43	-2.93	-2.50
193.00	3.37	-0.32	-2.92	-3.24
194.00	3.39	-0.32	-2.91	-3.23
195.00	3.40	0.43	-2.90	-2.46
196.00	3.42	0.17	-2.88	-2.71
197.00	3.44	-0.49	-2.87	-3.36
198.00	3.46	0.00	-2.85	-2.85
199.00	3.47	0.49	-2.84	-2.34
200.00	3.49	-0.17	-2.82	-2.99
201.00	3.51	-0.43	-2.80	-3.23
202.00	3.53	0.32	-2.78	-2.46
203.00	3.54	0.32	-2.76	-2.44
204.00	3.56	-0.43	-2.74	-3.17
205.00	3.58	-0.17	-2.72	-2.89
206.00	3.60	0.49	-2.70	-2.20
207.00	3.61	0.00	-2.67	-2.67
208.00	3.63	-0.49	-2.65	-3.14
209.00	3.65	0.17	-2.62	-2.45
210.00	3.67	0.43	-2.60	-2.17
211.00	3.68	-0.32	-2.57	-2.89
212.00	3.70	-0.32	-2.54	-2.87
213.00	3.72	0.43	-2.52	-2.08
214.00	3.74	0.17	-2.49	-2.32
215.00	3.75	-0.49	-2.46	-2.95
216.00	3.77	-0.00	-2.43	-2.43
217.00	3.79	0.49	-2.40	-1.90
218.00	3.80	-0.17	-2.36	-2.54
219.00	3.82	-0.43	-2.33	-2.76
220.00	3.84	0.32	-2.30	-1.98
221.00	3.86	0.32	-2.26	-1.94
222.00	3.87	-0.43	-2.23	-2.66
223.00	3.89	-0.17	-2.19	-2.37
224.00	3.91	0.49	-2.16	-1.67
225.00	3.93	0.00	-2.12	-2.12
226.00	3.94	-0.49	-2.08	-2.58
227.00	3.96	0.17	-2.05	-1.87
228.00	3.98	0.43	-2.01	-1.57
229.00	4.00	-0.32	-1.97	-2.29
230.00	4.01	-0.32	-1.93	-2.25
231.00	4.03	0.43	-1.89	-1.45
232.00	4.05	0.17	-1.85	-1.68
233.00	4.07	-0.49	-1.81	-2.30
234.00	4.08	-0.00	-1.76	-1.76
235.00	4.10	0.49	-1.72	-1.23
236.00	4.12	-0.17	-1.68	-1.85
237.00	4.14	-0.43	-1.63	-2.07
238.00	4.15	0.32	-1.59	-1.27
239.00	4.17	0.32	-1.55	-1.22
240.00	4.19	-0.43	-1.50	-1.93
241.00	4.21	-0.17	-1.45	-1.63
242.00	4.22	0.49	-1.41	-0.92
243.00	4.24	0.00	-1.36	-1.36
244.00	4.26	-0.49	-1.32	-1.81
245.00	4.28	0.17	-1.27	-1.10
246.00	4.29	0.43	-1.22	-0.79
247.00	4.31	-0.32	-1.17	-1.49
248.00	4.33	-0.32	-1.12	-1.45
249.00	4.35	0.43	-1.08	-0.64
250.00	4.36	0.17	-1.03	-0.86
251.00	4.38	-0.49	-0.98	-1.47
252.00	4.40	-0.00	-0.93	-0.93
253.00	4.42	0.49	-0.88	-0.38
254.00	4.43	-0.17	-0.83	-1.00
255.00	4.45	-0.43	-0.78	-1.21
256.00	4.47	0.32	-0.73	-0.40
257.00	4.49	0.32	-0.67	-0.35
258.00	4.50	-0.43	-0.62	-1.06
259.00	4.52	-0.17	-0.57	-0.74
260.00	4.54	0.49	-0.52	-0.03
261.00	4.56	0.00	-0.47	-0.47
262.00	4.57	-0.49	-0.42	-0.91
263.00	4.59	0.17	-0.37	-0.19
264.00	4.61	0.43	-0.31	0.12
265.00	4.63	-0.32	-0.26	-0.58
266.00	4.64	-0.32	-0.21	-0.53
267.00	4.66	0.43	-0.16	0.28
268.00	4.68	0.17	-0.10	0.07
269.00	4.69	-0.49	-0.05	-0.54
270.00	4.71	-0.00	-0.00	-0.00
271.00	4.73	0.49	0.05	0.54
272.00	4.75	-0.17	0.10	-0.07
273.00	4.76	-0.43	0.16	-0.28
274.00	4.78	0.32	0.21	0.53
275.00	4.80	0.32	0.26	0.58
276.00	4.82	-0.43	0.31	-0.12
277.00	4.83	-0.17	0.37	0.19
278.00	4.85	0.49	0.42	0.91
279.00	4.87	0.00	0.47	0.47
280.00	4.89	-0.49	0.52	0.03
281.00	4.90	0.17	0.57	0.74
282.00	4.92	0.43	0.62	1.06
283.00	4.94	-0.32	0.67	0.35
284.00	4.96	-0.32	0.73	0.40
285.00	4.97	0.43	0.78	1.21
286.00	4.99	0.17	0.83	1.00
287.00	5.01	-0.49	0.88	0.38
288.00	5.03	-0.00	0.93	0.93
289.00	5.04	0.49	0.98	1.47
290.00	5.06	-0.17	1.03	0.86
291.00	5.08	-0.43	1.08	0.64
292.00	5.10	0.32	1.12	1.45
293.00	5.11	0.32	1.17	1.49
294.00	5.13	-0.43	1.22	0.79
295.00	5.15	-0.17	1.27	1.10
296.00	5.17	0.49	1.32	1.81
297.00	5.18	0.00	1.36	1.36
298.00	5.20	-0.49	1.41	0.92
299.00	5.22	0.17	1.45	1.63
300.00	5.24	0.43	1.50	1.93
301.00	5.25	-0.32	1.55	1.22
302.00	5.27	-0.32	1.59	1.27
303.00	5.29	0.43	1.63	2.07
304.00	5.31	0.17	1.68	1.85
305.00	5.32	-0.49	1.72	1.23
306.00	5.34	-0.00	1.76	1.76
307.00	5.36	0.49	1.81	2.30
308.00	5.38	-0.17	1.85	1.68
309.00	5.39	-0.43	1.89	1.45
310.00	5.41	0.32	1.93	2.25
311.00	5.43	0.32	1.97	2.29
312.00	5.45	-0.43	2.01	1.57
313.00	5.46	-0.17	2.05	1.87
314.00	5.48	0.49	2.08	2.58
315.00	5.50	0.00	2.12	2.12
316.00	5.52	-0.49	2.16	1.67
317.00	5.53	0.17	2.19	2.37
318.00	5.55	0.43	2.23	2.66
319.00	5.57	-0.32	2.26	1.94
320.00	5.59	-0.32	2.30	1.98
321.00	5.60	0.43	2.33	2.76
322.00	5.62	0.17	2.36	2.54
323.00	5.64	-0.49	2.40	1.90
324.00	5.65	-0.00	2.43	2.43
325.00	5.67	0.49	2.46	2.95
326.00	5.69	-0.17	2.49	2.32
327.00	5.71	-0.43	2.52	2.08
328.00	5.72	0.32	2.54	2.87
329.00	5.74	0.32	2.57	2.89
330.00	5.76	-0.43	2.60	2.17
331.00	5.78	-0.17	2.62	2.45
332.00	5.79	0.49	2.65	3.14
333.00	5.81	0.00	2.67	2.67
334.00	5.83	-0.49	2.70	2.20
335.00	5.85	0.17	2.72	2.89
336.00	5.86	0.43	2.74	3.17
337.00	5.88	-0.32	2.76	2.44
338.00	5.90	-0.32	2.78	2.46
339.00	5.92	0.43	2.80	3.23
340.00	5.93	0.17	2.82	2.99
341.00	5.95	-0.49	2.84	2.34
342.00	5.97	-0.00	2.85	2.85
343.00	5.99	0.49	2.87	3.36
344.00	6.00	-0.17	2.88	2.71
345.00	6.02	-0.43	2.90	2.46
346.00	6.04	0.32	2.91	3.23
347.00	6.06	0.32	2.92	3.24
348.00	6.07	-0.43	2.93	2.50
349.00	6.09	-0.17	2.94	2.77
350.00	6.11	0.49	2.95	3.45
351.00	6.13	0.00	2.96	2.96
352.00	6.14	-0.49	2.97	2.48
353.00	6.16	0.17	2.98	3.15
354.00	6.18	0.43	2.98	3.42
355.00	6.20	-0.32	2.99	2.67
356.00	6.21	-0.32	2.99	2.67
357.00	6.23	0.43	3.00	3.43
358.00	6.25	0.17	3.00	3.17
359.00	6.27	-0.49	3.00	2.51
360.00	6.28	0.00	3.00	3.00
