Degree	Radian	sin_x	cos_xAsin_x_Bcos_x
153.00	2.67	-0.59	-0.81	-3.01
154.00	2.69	-0.61	-0.79	-2.98
155.00	2.71	-0.63	-0.77	-2.96
156.00	2.72	-0.65	-0.76	-2.93
157.00	2.74	-0.67	-0.74	-2.90
158.00	2.76	-0.69	-0.73	-2.87
159.00	2.78	-0.71	-0.71	-2.83
160.00	2.79	-0.72	-0.69	-2.80
161.00	2.81	-0.74	-0.67	-2.76
162.00	2.83	-0.76	-0.65	-2.72
163.00	2.84	-0.77	-0.64	-2.68
164.00	2.86	-0.79	-0.62	-2.64
165.00	2.88	-0.80	-0.60	-2.59
166.00	2.90	-0.82	-0.58	-2.55
167.00	2.91	-0.83	-0.56	-2.50
168.00	2.93	-0.84	-0.54	-2.45
169.00	2.95	-0.86	-0.52	-2.40
170.00	2.97	-0.87	-0.49	-2.35
171.00	2.98	-0.88	-0.47	-2.30
172.00	3.00	-0.89	-0.45	-2.24
173.00	3.02	-0.90	-0.43	-2.19
174.00	3.04	-0.91	-0.41	-2.13
175.00	3.05	-0.92	-0.38	-2.07
176.00	3.07	-0.93	-0.36	-2.01
177.00	3.09	-0.94	-0.34	-1.95
178.00	3.11	-0.95	-0.31	-1.89
179.00	3.12	-0.96	-0.29	-1.83
180.00	3.14	-0.96	-0.27	-1.76
181.00	3.16	-0.97	-0.24	-1.70
182.00	3.18	-0.98	-0.22	-1.63
183.00	3.19	-0.98	-0.19	-1.56
184.00	3.21	-0.99	-0.17	-1.50
185.00	3.23	-0.99	-0.15	-1.43
186.00	3.25	-0.99	-0.12	-1.36
187.00	3.26	-1.00	-0.10	-1.29
188.00	3.28	-1.00	-0.07	-1.21
189.00	3.30	-1.00	-0.05	-1.14
190.00	3.32	-1.00	-0.02	-1.07
191.00	3.33	-1.00	0.00	-0.99
192.00	3.35	-1.00	0.03	-0.92
193.00	3.37	-1.00	0.05	-0.84
194.00	3.39	-1.00	0.08	-0.77
195.00	3.40	-0.99	0.10	-0.69
196.00	3.42	-0.99	0.13	-0.62
197.00	3.44	-0.99	0.15	-0.54
198.00	3.46	-0.98	0.17	-0.46
199.00	3.47	-0.98	0.20	-0.39
200.00	3.49	-0.97	0.22	-0.31
201.00	3.51	-0.97	0.25	-0.23
202.00	3.53	-0.96	0.27	-0.15
203.00	3.54	-0.96	0.29	-0.07
204.00	3.56	-0.95	0.32	0.00
205.00	3.58	-0.94	0.34	0.08
206.00	3.60	-0.93	0.36	0.16
207.00	3.61	-0.92	0.39	0.24
208.00	3.63	-0.91	0.41	0.32
209.00	3.65	-0.90	0.43	0.39
210.00	3.67	-0.89	0.45	0.47
211.00	3.68	-0.88	0.48	0.55
212.00	3.70	-0.87	0.50	0.62
213.00	3.72	-0.86	0.52	0.70
214.00	3.74	-0.84	0.54	0.78
215.00	3.75	-0.83	0.56	0.85
216.00	3.77	-0.81	0.58	0.93
217.00	3.79	-0.80	0.60	1.00
218.00	3.80	-0.78	0.62	1.07
219.00	3.82	-0.77	0.64	1.15
220.00	3.84	-0.75	0.66	1.22
221.00	3.86	-0.74	0.68	1.29
222.00	3.87	-0.72	0.69	1.36
223.00	3.89	-0.70	0.71	1.43
224.00	3.91	-0.68	0.73	1.50
225.00	3.93	-0.67	0.75	1.57
226.00	3.94	-0.65	0.76	1.64
227.00	3.96	-0.63	0.78	1.70
228.00	3.98	-0.61	0.79	1.77
229.00	4.00	-0.59	0.81	1.83
230.00	4.01	-0.57	0.82	1.90
231.00	4.03	-0.55	0.84	1.96
232.00	4.05	-0.53	0.85	2.02
233.00	4.07	-0.51	0.86	2.08
234.00	4.08	-0.49	0.87	2.14
235.00	4.10	-0.46	0.89	2.19
236.00	4.12	-0.44	0.90	2.25
237.00	4.14	-0.42	0.91	2.30
238.00	4.15	-0.40	0.92	2.36
239.00	4.17	-0.37	0.93	2.41
240.00	4.19	-0.35	0.94	2.46
241.00	4.21	-0.33	0.94	2.51
242.00	4.22	-0.31	0.95	2.55
243.00	4.24	-0.28	0.96	2.60
244.00	4.26	-0.26	0.97	2.64
245.00	4.28	-0.23	0.97	2.68
246.00	4.29	-0.21	0.98	2.72
247.00	4.31	-0.19	0.98	2.76
248.00	4.33	-0.16	0.99	2.80
249.00	4.35	-0.14	0.99	2.84
250.00	4.36	-0.11	0.99	2.87
251.00	4.38	-0.09	1.00	2.90
252.00	4.40	-0.06	1.00	2.93
253.00	4.42	-0.04	1.00	2.96
254.00	4.43	-0.01	1.00	2.99
255.00	4.45	0.01	1.00	3.01
256.00	4.47	0.04	1.00	3.03
257.00	4.49	0.06	1.00	3.05
258.00	4.50	0.08	1.00	3.07
259.00	4.52	0.11	0.99	3.09
260.00	4.54	0.13	0.99	3.11
261.00	4.56	0.16	0.99	3.12
262.00	4.57	0.18	0.98	3.13
263.00	4.59	0.21	0.98	3.14
264.00	4.61	0.23	0.97	3.15
265.00	4.63	0.25	0.97	3.16
266.00	4.64	0.28	0.96	3.16
267.00	4.66	0.30	0.95	3.16
268.00	4.68	0.33	0.95	3.16
269.00	4.69	0.35	0.94	3.16
270.00	4.71	0.37	0.93	3.16
271.00	4.73	0.39	0.92	3.15
272.00	4.75	0.42	0.91	3.14
273.00	4.76	0.44	0.90	3.13
274.00	4.78	0.46	0.89	3.12
275.00	4.80	0.48	0.88	3.11
276.00	4.82	0.50	0.86	3.09
277.00	4.83	0.53	0.85	3.08
278.00	4.85	0.55	0.84	3.06
279.00	4.87	0.57	0.82	3.04
280.00	4.89	0.59	0.81	3.02
281.00	4.90	0.61	0.79	2.99
282.00	4.92	0.63	0.78	2.96
283.00	4.94	0.65	0.76	2.94
284.00	4.96	0.66	0.75	2.91
285.00	4.97	0.68	0.73	2.87
286.00	4.99	0.70	0.71	2.84
287.00	5.01	0.72	0.70	2.81
288.00	5.03	0.73	0.68	2.77
289.00	5.04	0.75	0.66	2.73
290.00	5.06	0.77	0.64	2.69
291.00	5.08	0.78	0.62	2.65
292.00	5.10	0.80	0.60	2.61
293.00	5.11	0.81	0.58	2.56
294.00	5.13	0.83	0.56	2.51
295.00	5.15	0.84	0.54	2.47
296.00	5.17	0.85	0.52	2.42
297.00	5.18	0.87	0.50	2.37
298.00	5.20	0.88	0.48	2.31
299.00	5.22	0.89	0.46	2.26
300.00	5.24	0.90	0.43	2.20
301.00	5.25	0.91	0.41	2.15
302.00	5.27	0.92	0.39	2.09
303.00	5.29	0.93	0.37	2.03
304.00	5.31	0.94	0.34	1.97
305.00	5.32	0.95	0.32	1.91
306.00	5.34	0.96	0.30	1.84
307.00	5.36	0.96	0.27	1.78
308.00	5.38	0.97	0.25	1.72
309.00	5.39	0.97	0.23	1.65
310.00	5.41	0.98	0.20	1.58
311.00	5.43	0.98	0.18	1.51
312.00	5.45	0.99	0.15	1.45
313.00	5.46	0.99	0.13	1.38
314.00	5.48	0.99	0.10	1.30
315.00	5.50	1.00	0.08	1.23
316.00	5.52	1.00	0.05	1.16
317.00	5.53	1.00	0.03	1.09
318.00	5.55	1.00	0.00	1.01
319.00	5.57	1.00	-0.02	0.94
320.00	5.59	1.00	-0.04	0.87
321.00	5.60	1.00	-0.07	0.79
322.00	5.62	1.00	-0.09	0.71
323.00	5.64	0.99	-0.12	0.64
324.00	5.65	0.99	-0.14	0.56
325.00	5.67	0.99	-0.17	0.48
326.00	5.69	0.98	-0.19	0.41
327.00	5.71	0.98	-0.22	0.33
328.00	5.72	0.97	-0.24	0.25
329.00	5.74	0.96	-0.26	0.17
330.00	5.76	0.96	-0.29	0.10
331.00	5.78	0.95	-0.31	0.02
332.00	5.79	0.94	-0.33	-0.06
333.00	5.81	0.93	-0.36	-0.14
334.00	5.83	0.92	-0.38	-0.22
335.00	5.85	0.92	-0.40	-0.29
336.00	5.86	0.91	-0.43	-0.37
337.00	5.88	0.89	-0.45	-0.45
338.00	5.90	0.88	-0.47	-0.53
339.00	5.92	0.87	-0.49	-0.60
340.00	5.93	0.86	-0.51	-0.68
341.00	5.95	0.85	-0.53	-0.75
342.00	5.97	0.83	-0.55	-0.83
343.00	5.99	0.82	-0.57	-0.91
344.00	6.00	0.80	-0.59	-0.98
345.00	6.02	0.79	-0.61	-1.05
346.00	6.04	0.77	-0.63	-1.13
347.00	6.06	0.76	-0.65	-1.20
348.00	6.07	0.74	-0.67	-1.27
349.00	6.09	0.72	-0.69	-1.34
350.00	6.11	0.71	-0.71	-1.41
351.00	6.13	0.69	-0.72	-1.48
352.00	6.14	0.67	-0.74	-1.55
353.00	6.16	0.65	-0.76	-1.62
354.00	6.18	0.63	-0.77	-1.68
355.00	6.20	0.62	-0.79	-1.75
356.00	6.21	0.60	-0.80	-1.81
357.00	6.23	0.58	-0.82	-1.88
358.00	6.25	0.56	-0.83	-1.94
359.00	6.27	0.53	-0.85	-2.00
360.00	6.28	0.51	-0.86	-2.06
